,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
292,Baoro,100,CF,1587698205,73,5.67,15.97,68.56,1.63
293,Meulaboh,100,ID,1587698205,66,4.14,96.13,85.6,1.81
294,Weston,1,US,1587698182,74,26.1,-80.4,82.4,10.29
295,Gaoual,100,GN,1587698206,58,11.75,-13.2,79.66,6.55
296,Riachão das Neves,73,BR,1587698131,80,-11.75,-44.91,69.75,1.21
297,Plouzané,90,FR,1587698206,87,48.38,-4.62,53.6,9.17
298,Port Lincoln,21,AU,1587698041,61,-34.73,135.87,66.58,3.49
299,Kochi,40,IN,1587697994,88,9.94,76.26,80.6,5.82
300,Coquimbo,90,CL,1587698206,72,-29.95,-71.34,62.6,2.24
301,Republic,1,US,1587698044,93,37.12,-93.48,54.0,3.36
302,Tarko-Sale,35,RU,1587698207,87,64.92,77.78,33.01,11.86
303,Naze,75,JP,1587698207,48,28.37,129.48,64.4,11.41
304,Manokwari,63,ID,1587698032,69,-0.87,134.08,84.94,2.1
305,Poya,15,NC,1587698207,64,-21.35,165.15,79.41,10.27
306,Ciudad Bolivar,98,VE,1587698207,44,8.12,-63.55,81.72,15.61
307,Kuliyapitiya,20,LK,1587698208,100,7.47,80.04,77.0,5.82
308,Westport,40,US,1587698105,65,41.14,-73.36,46.0,3.36
309,Pavelets,100,RU,1587698208,61,53.79,39.25,28.99,1.23
310,Cape Town,99,ZA,1587697931,87,-33.93,18.42,62.01,4.7
311,Kawalu,76,ID,1587698208,59,-7.38,108.21,85.59,3.24
312,Lagunas,11,PE,1587698209,77,-5.23,-75.68,75.74,1.77
313,Mendi,83,PG,1587698209,54,-6.18,143.65,64.96,2.46
314,Fairfield,40,US,1587698114,65,41.27,-73.32,44.6,3.36
315,Kommunar,100,RU,1587698209,80,59.62,30.39,35.6,4.47
316,Saint-Joseph,20,RE,1587698209,78,-21.37,55.62,73.4,5.82
317,Sorong,39,ID,1587698129,81,-0.88,131.25,84.52,0.74
318,Santa Marta,42,CO,1587698210,82,11.24,-74.2,81.0,14.72
319,Prince Rupert,90,CA,1587698043,77,54.32,-130.32,48.2,3.36
320,Ilulissat,9,GL,1587698010,92,69.22,-51.1,28.4,5.82
321,Khovd,0,MN,1587698210,18,48.01,91.64,57.11,2.57
322,Cabo San Lucas,5,MX,1587697943,36,22.89,-109.91,77.0,11.41
